18,57,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ind,Pop,PyC006,,PyC008,,PyC009,,PyC012,,PyC013,,PyC014,,PyC015,,PyC017,,PyC018,,PyC020,,PyC031,,PyC032,,PyC035,,PyC038,,PyC041,,PyC042,,PyC047,,PyC050,
ChinaAO35,China,417,417,311,319,422,445,428,428,195,195,185,185,216,216,420,420,473,484,266,288,339,339,421,421,368,381,161,176,278,281,350,350,367,367,373,373
China001,China,417,425,311,328,453,453,0,0,189,189,188,188,212,212,422,453,467,467,275,288,294,336,415,415,373,373,158,173,275,275,339,339,367,367,373,377
China002,China,407,407,311,311,445,445,413,413,195,200,200,200,216,216,0,0,0,0,285,285,306,306,415,415,373,373,158,173,275,275,0,0,364,364,382,382
China005,China,422,422,0,0,417,417,0,0,193,193,195,195,0,0,0,0,480,480,288,288,0,0,0,0,365,365,158,173,281,281,0,0,364,364,382,382
China008,China,0,0,308,319,449,449,0,0,177,177,197,197,210,210,400,420,467,467,279,297,312,356,418,418,381,381,161,176,278,284,350,350,0,0,373,373
China010,China,409,409,303,303,429,429,0,0,195,210,197,197,219,219,389,415,473,473,293,293,330,330,421,434,373,373,164,179,281,281,344,350,360,360,373,373
China011,China,409,409,313,313,429,438,396,396,193,193,204,204,203,203,407,434,442,470,288,299,336,342,418,418,373,373,161,176,278,289,344,344,356,356,373,373
China013,China,409,409,347,347,449,449,0,0,177,177,185,192,227,227,398,398,464,473,283,283,308,353,423,423,373,373,158,173,275,278,344,344,375,375,373,373
China015,China,422,422,303,303,438,438,419,419,189,189,195,195,216,216,0,0,457,473,288,309,324,330,418,418,373,373,158,173,275,275,339,339,364,364,373,373
China017,China,417,417,311,333,426,449,413,413,193,193,192,214,206,208,429,438,444,480,288,293,296,336,418,418,360,370,158,173,272,281,339,339,360,360,370,370
China018,China,422,422,303,333,424,431,413,413,195,200,192,192,208,208,389,431,444,462,288,293,294,336,421,421,360,373,158,173,272,272,339,339,360,360,373,382
China019,China,384,422,319,319,431,431,416,416,208,208,182,182,216,236,392,413,444,470,288,288,342,342,418,423,373,373,158,173,275,275,341,341,364,364,370,370
China020,China,422,422,303,303,445,445,398,398,195,195,195,195,208,208,413,413,470,470,288,288,339,345,427,427,368,368,161,176,275,284,350,350,360,360,373,373
China021,China,422,422,326,326,453,453,0,0,179,189,188,188,216,216,0,0,457,470,297,297,342,342,0,0,370,379,164,179,281,281,350,350,0,0,0,0
China039,China,422,422,303,303,431,449,0,0,193,193,0,0,0,0,0,0,447,447,297,297,333,333,0,0,376,376,161,176,281,281,0,0,0,0,0,0
China053,China,425,425,311,311,445,445,0,0,195,195,192,192,206,206,0,0,0,0,293,293,306,306,0,0,370,370,158,173,0,0,0,0,0,0,0,0
China054,China,417,417,303,311,426,445,428,428,195,195,195,202,206,206,392,400,442,442,279,285,306,327,415,415,365,376,158,173,272,272,339,339,360,360,373,373
China060,China,417,417,323,323,445,445,0,0,195,195,0,0,203,203,398,398,0,0,297,297,0,0,0,0,376,376,158,173,0,0,0,0,360,360,373,373
China061,China,422,422,311,311,0,0,398,398,195,195,192,192,193,193,0,0,0,0,285,285,333,333,0,0,379,379,158,173,272,275,341,341,364,364,0,0
China063,China,0,0,311,311,0,0,0,0,193,193,192,202,206,206,400,400,444,444,285,285,306,339,421,421,376,376,158,173,272,272,0,0,0,0,373,373
JapanAO40,Japan,422,422,344,344,445,445,413,413,189,200,208,214,245,245,395,400,447,457,285,285,303,345,418,418,373,373,158,158,278,284,335,335,356,356,388,388
Japan016,Japan,417,417,313,313,440,440,419,419,198,198,214,214,216,216,389,395,455,473,293,293,303,342,421,421,370,384,158,173,275,281,332,332,360,360,373,373
Japan022,Japan,422,422,333,338,449,449,421,421,189,195,214,214,195,195,389,400,464,473,297,297,315,348,427,427,376,387,164,179,278,278,335,335,364,364,373,373
Japan042,Japan,422,422,303,311,438,438,430,430,195,198,195,195,239,245,389,442,444,462,288,288,300,339,421,421,376,389,158,173,278,278,341,341,367,367,373,373
Japan043,Japan,417,417,313,313,440,440,419,419,198,198,214,214,193,216,389,395,455,473,288,293,306,345,421,421,373,387,158,173,278,286,335,335,360,360,373,373
